image_id,package_id,readability_label,readability_score,actual_font_height_mm,measurement_method,annotator_id,annotation_quality,annotation_notes
PKG_000_R00,PKG_000,,,,,,,
PKG_000_R01,PKG_000,,,,,,,
PKG_000_R02,PKG_000,,,,,,,
PKG_001_R00,PKG_001,,,,,,,
PKG_001_R01,PKG_001,,,,,,,
PKG_001_R02,PKG_001,,,,,,,
PKG_001_R03,PKG_001,,,,,,,
PKG_002_R00,PKG_002,,,,,,,
PKG_002_R01,PKG_002,,,,,,,
PKG_003_R00,PKG_003,,,,,,,
PKG_003_R01,PKG_003,,,,,,,
PKG_003_R02,PKG_003,,,,,,,
PKG_004_R00,PKG_004,,,,,,,
PKG_004_R01,PKG_004,,,,,,,
PKG_005_R00,PKG_005,,,,,,,
PKG_005_R01,PKG_005,,,,,,,
PKG_005_R02,PKG_005,,,,,,,
PKG_006_R00,PKG_006,,,,,,,
PKG_006_R01,PKG_006,,,,,,,
PKG_006_R02,PKG_006,,,,,,,
PKG_006_R03,PKG_006,,,,,,,
PKG_007_R00,PKG_007,,,,,,,
PKG_007_R01,PKG_007,,,,,,,
PKG_007_R02,PKG_007,,,,,,,
PKG_008_R00,PKG_008,,,,,,,
PKG_008_R01,PKG_008,,,,,,,
PKG_008_R02,PKG_008,,,,,,,
PKG_009_R00,PKG_009,,,,,,,
PKG_009_R01,PKG_009,,,,,,,
PKG_010_R00,PKG_010,,,,,,,
PKG_010_R01,PKG_010,,,,,,,
PKG_010_R02,PKG_010,,,,,,,
PKG_011_R00,PKG_011,,,,,,,
PKG_011_R01,PKG_011,,,,,,,
PKG_012_R00,PKG_012,,,,,,,
PKG_012_R01,PKG_012,,,,,,,
PKG_013_R00,PKG_013,,,,,,,
PKG_013_R01,PKG_013,,,,,,,
PKG_013_R02,PKG_013,,,,,,,
PKG_013_R03,PKG_013,,,,,,,
PKG_014_R00,PKG_014,,,,,,,
PKG_014_R01,PKG_014,,,,,,,
PKG_014_R02,PKG_014,,,,,,,
PKG_015_R00,PKG_015,,,,,,,
PKG_015_R01,PKG_015,,,,,,,
PKG_015_R02,PKG_015,,,,,,,
PKG_015_R03,PKG_015,,,,,,,
PKG_016_R00,PKG_016,,,,,,,
PKG_016_R01,PKG_016,,,,,,,
PKG_017_R00,PKG_017,,,,,,,
PKG_017_R01,PKG_017,,,,,,,
PKG_017_R02,PKG_017,,,,,,,
